"Variante","k","mu_hat","se_mu","tau2","PI_unten","PI_oben","Klassifikation_2026","z_2026","Hinweis"
"PRIMAER: volles Fenster 1992-2025, REML+HKSJ",34,2955,485.4,7637036.96,-2760,8671,"oberhalb PI",4.46,"SAP 5.1 -- bindend fuer Hauptaussage"
"S1a: letzte 10 Jahre (2016-2025)",10,3627,740.8,4997218.11,-1803,9058,"oberhalb PI",4.99,""
"S1b: letzte 15 Jahre (2011-2025)",15,3291,624.1,5418987.11,-1916,8498,"oberhalb PI",5.02,""
"S1c: Jahre ab Bruchjahr 2020 (2020-2025)",6,2993,409.3,602895.75,556,5430,"oberhalb PI",11.8,""
"S2: tau2-Schaetzer DerSimonian-Laird",34,2946,484.8,5802368.69,-2059,7951,"oberhalb PI",5.06,""
"S2: tau2-Schaetzer Paule-Mandel",34,2956,485.4,7693086.95,-2780,8691,"oberhalb PI",4.45,""
"S3: Log-Skalen-Konversion (Delta-Methode)",34,2535,NA,0.5617,534,12028,"oberhalb PI",2.39,"Abweichung B: Delta-Methode statt direkter log(PI)-Rueckrechnung"
"S4: Fixed-Effect-Modell",34,2014,83.6,0,1844,2184,"oberhalb PI",21.43,"tau2 auf 0 fixiert; PI=CI unter FE-Annahme"
"S5: Trend-adjustierte Meta-Regression (2026-Prognose)",34,3566,1007.7,7759616.26,-2476,9607,"oberhalb PI",4.04,""
"S6a: Empirisches Perzentil-Intervall (roh)",34,1810,NA,NA,150,10200,"oberhalb PI",NA,"Kein Modell; deskriptive Perzentile der historischen Reihe"
"S6b: Bootstrap-Praediktionsintervall (R=5000)",34,3053,NA,NA,-2140,8539,"oberhalb PI",NA,"Case-Resampling-Bootstrap, seed=20260828"
"S8a: HKSJ-Inferenz (= Primaeranalyse)",34,2955,485.4,7637036.96,-2760,8671,"oberhalb PI",4.46,"identisch zur Primaeranalyse (Referenz fuer S8-Vergleich)"
"S8b: Standard-Wald(z)-Inferenz",34,2955,483.7,7637036.96,-2759,8670,"oberhalb PI",4.46,""
